store_id,region,store_type,category,baseline_units,price,unit_cost,recent_margin,walkability_score,elasticity,candidate_discount,expected_lift_pct,expected_incremental_units,expected_incremental_margin,recommendation_score
S012,Tacoma,drive_thru,cold_beverage,73.17037470725995,6.25,1.85,292.5268852459016,83.0,-1.9553415966821277,0.15,0.37407396344213817,27.37113207329111,89.28476670072598,93.94741562843058
S024,Tacoma,drive_thru,cold_beverage,74.19906323185012,6.25,1.85,302.66934426229506,77.8,-1.9553415966821277,0.15,0.37407396344213817,27.755937666832,90.54000442901705,93.38497256818661
S014,Tacoma,urban_core,cold_beverage,71.85889929742389,6.25,1.85,288.4337704918033,79.4,-1.9553415966821277,0.15,0.37407396344213817,26.880543268776833,87.68446362083299,91.00088488933649
S011,Bellevue,urban_core,cold_beverage,69.34953161592506,6.25,1.85,271.1044262295082,80.5,-1.9553415966821277,0.15,0.37407396344213817,25.941854154424956,84.62245513850202,88.19540324434989
S019,Tacoma,urban_core,cold_beverage,72.80971896955504,6.25,1.85,304.7429508196721,67.4,-1.9553415966821277,0.15,0.37407396344213817,27.236220152049686,88.84468335375541,87.94044190984387
S004,Seattle,urban_core,cold_beverage,67.788056206089,6.25,1.85,274.74311475409837,81.0,-1.9553415966821277,0.15,0.37407396344213817,25.357746859050142,82.71709428400443,86.37502800900819
S029,Bellevue,drive_thru,cold_beverage,67.46545667447306,6.25,1.85,266.9759016393443,78.0,-1.9553415966821277,0.15,0.37407396344213817,25.237070773653993,82.32344830319147,84.97609274851654
S018,Seattle,urban_core,cold_beverage,66.80386416861826,6.25,1.85,268.5095081967213,80.5,-1.9553415966821277,0.15,0.37407396344213817,24.98958624280527,81.51615255306689,84.95794566086306
S028,Tacoma,urban_core,cold_beverage,72.05913348946136,6.25,1.85,290.8370491803279,54.3,-1.9553415966821277,0.15,0.37407396344213817,26.955445666608924,87.92879560892379,82.42640697704093
S010,Seattle,urban_core,cold_beverage,70.62763466042155,6.25,1.85,274.2854098360656,59.0,-1.9553415966821277,0.15,0.37407396344213817,26.419959225967222,86.18203622037989,82.4091781902877
S036,Seattle,drive_thru,cold_beverage,64.70901639344262,6.25,1.85,256.64590163934423,79.9,-1.9553415966821277,0.15,0.37407396344213817,24.205958232737377,78.95995415134497,82.10431499221632
S030,Seattle,urban_core,cold_beverage,64.3688524590164,6.25,1.85,254.1277049180328,75.5,-1.9553415966821277,0.15,0.37407396344213817,24.078711761566485,78.54487553999772,80.29031721866434
S002,Redmond,drive_thru,cold_beverage,65.2728337236534,6.25,1.85,263.6375409836065,70.9,-1.9553415966821277,0.15,0.37407396344213817,24.41686761610669,79.64794159149541,79.95237372380069
S035,Redmond,urban_core,cold_beverage,69.51112412177986,6.25,1.85,274.48819672131145,53.3,-1.9553415966821277,0.15,0.37407396344213817,26.002301703552607,84.81963533941742,79.17253250659753
S017,Tacoma,suburban,cold_beverage,63.61709601873537,6.25,1.85,247.1527868852459,72.3,-1.9553415966821277,0.15,0.37407396344213817,23.79749925040741,77.62755895313049,78.35898306415554
